testplan,testset,model,correctness,correct,incorrect
Polygon.io endpoint generation Q&A,Polyg-3,ministral:8b,0.675,270,130
Polygon.io endpoint generation Q&A,Polyg-3,mistral-large:123b,0.6725,269,131
Polygon.io endpoint generation Q&A,Polyg-3,mistral:v0.3,0.6675,267,133
Polygon.io endpoint generation Q&A,Polyg-3,neural-chat:7b,0.655,262,138
Polygon.io endpoint generation Q&A,Polyg-3,deepseek-v2.5:236b,0.6425,257,143
Polygon.io endpoint generation Q&A,Polyg-3,llama2:13b,0.635,254,146
Polygon.io endpoint generation Q&A,Polyg-3,gemma:7b-instruct-v1.1-q2_K,0.6325,253,147
Polygon.io endpoint generation Q&A,Polyg-3,phi3:3.8b,0.6025,241,159
Polygon.io endpoint generation Q&A,Polyg-3,granite3-dense:2b,0.5825,233,167
Polygon.io endpoint generation Q&A,Polyg-3,phi3:3.8b-mini-instruct-4k-fp16,0.57,228,172
Polygon.io endpoint generation Q&A,Polyg-3,phi3:14b,0.5675,227,173
Polygon.io endpoint generation Q&A,Polyg-3,qwen:14b,0.5475,219,181
Polygon.io endpoint generation Q&A,Polyg-3,qwen:7b,0.5375,215,185
Polygon.io endpoint generation Q&A,Polyg-3,llama2:7b,0.53,212,188
Polygon.io endpoint generation Q&A,Polyg-3,sailor2:8b,0.5075,203,197
Polygon.io endpoint generation Q&A,Polyg-3,llama3-chatqa:8b,0.495,198,202
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:3b,0.49,196,204
Polygon.io endpoint generation Q&A,Polyg-3,llama3-gradient:8b-instruct-1048k-q4_0,0.415,166,234
Polygon.io endpoint generation Q&A,Polyg-3,gemma:2b,0.4125,165,235
Polygon.io endpoint generation Q&A,Polyg-3,gemma:2b-instruct-v1.1-q8_0,0.4125,165,235
Polygon.io endpoint generation Q&A,Polyg-3,llama3-gradient:8b-instruct-1048k-q8_0,0.405,162,238
Polygon.io endpoint generation Q&A,Polyg-3,yi:6b-v1.5,0.39,156,244
Polygon.io endpoint generation Q&A,Polyg-3,gemma:2b-instruct-v1.1-fp16,0.3875,155,245
Polygon.io endpoint generation Q&A,Polyg-3,gemma:2b-v1.1,0.38,152,248
Polygon.io endpoint generation Q&A,Polyg-3,dolphin-llama3:8b-v2.9,0.3775,151,249
Polygon.io endpoint generation Q&A,Polyg-3,orca2:13b,0.335,134,266
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:1.5b,0.3175,127,273
Polygon.io endpoint generation Q&A,Polyg-3,nemotron-mini:4b,0.275,110,290
Polygon.io endpoint generation Q&A,Polyg-3,deepseek-llm:7b,0.26,104,296
Polygon.io endpoint generation Q&A,Polyg-3,phi:2.7b,0.2575,103,297
Polygon.io endpoint generation Q&A,Polyg-3,command-r-plus:104b,0.2225,89,311
Polygon.io endpoint generation Q&A,Polyg-3,granite3-moe:1b,0.22,88,312
Polygon.io endpoint generation Q&A,Polyg-3,llama3:8b-instruct-q2_K,0.21,84,316
Polygon.io endpoint generation Q&A,Polyg-3,llama3.2:3b,0.19,76,324
Polygon.io endpoint generation Q&A,Polyg-3,orca2:7b,0.1754,70,329
Polygon.io endpoint generation Q&A,Polyg-3,solar-pro:22b,0.155,62,338
Polygon.io endpoint generation Q&A,Polyg-3,deepseek-v2:16b,0.145,58,342
Polygon.io endpoint generation Q&A,Polyg-3,qwen2.5:0.5b,0.125,50,350
Polygon.io endpoint generation Q&A,Polyg-3,qwen:4b,0.1035,41,355
Polygon.io endpoint generation Q&A,Polyg-3,llama3.2:1b,0.085,34,366
Polygon.io endpoint generation Q&A,Polyg-3,llama2-uncensored:7b,0.0675,27,373
Polygon.io endpoint generation Q&A,Polyg-3,qwen:1.8b,0.0655,26,371
Polygon.io endpoint generation Q&A,Polyg-3,yi:6b-v1.5-q8_0,0.01,4,396
Polygon.io endpoint generation Q&A,Polyg-3,smollm:135m,0.0,0,377
Polygon.io endpoint generation Q&A,Polyg-3,falcon2:11b,0.0,0,400
Polygon.io endpoint generation Q&A,Polyg-3,smollm:1.7b,0.0,0,400
Polygon.io endpoint generation Q&A,Polyg-3,qwen:0.5b,0.0,0,397
Polygon.io endpoint generation Q&A,Polyg-3,smollm:360m,0.0,0,152
Polygon.io endpoint generation Q&A,Polyg-3,wizardlm2:7b,0.0,0,1
