testplan,testset,model,correctness,correct,incorrect
Polygon.io endpoint generation Q&A,20240423-1,codellama:13b,0.6300,252,148
Polygon.io endpoint generation Q&A,20240423-1,neural-chat:7b,0.6125,245,155
Polygon.io endpoint generation Q&A,20240423-1,deepseek-llm:67b,0.6100,244,156
Polygon.io endpoint generation Q&A,20240423-1,starling-lm:7b,0.6070,431,279
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:7b-fp16,0.6052,302,197
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x22b,0.5985,243,163
Polygon.io endpoint generation Q&A,20240423-1,gemma:7b-instruct-v1.1-q2_K,0.5975,239,161
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x22b-instruct-v0.1-q8_0,0.5975,239,161
Polygon.io endpoint generation Q&A,20240423-1,phi3:3.8b,0.5763,253,186
Polygon.io endpoint generation Q&A,20240423-1,llama2:13b,0.5600,224,176
Polygon.io endpoint generation Q&A,20240423-1,qwen:7b,0.5580,231,183
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x22b-instruct-v0.1-q2_K,0.5531,224,181
Polygon.io endpoint generation Q&A,20240423-1,qwen:14b,0.5452,229,191
Polygon.io endpoint generation Q&A,20240423-1,llama2:70b,0.5400,216,184
Polygon.io endpoint generation Q&A,20240423-1,llama2:7b,0.5275,211,189
Polygon.io endpoint generation Q&A,20240423-1,dbrx:132b,0.5125,205,195
Polygon.io endpoint generation Q&A,20240423-1,wizardlm2:7b-q2_K,0.5076,434,421
Polygon.io endpoint generation Q&A,20240423-1,gemma:2b,0.4525,181,219
Polygon.io endpoint generation Q&A,20240423-1,mixtral:8x7b-instruct-v0.1-q2_K,0.4450,178,222
Polygon.io endpoint generation Q&A,20240423-1,zephyr:7b,0.4286,216,288
Polygon.io endpoint generation Q&A,20240423-1,gemma:2b-instruct-v1.1-q8_0,0.4275,171,229
Polygon.io endpoint generation Q&A,20240423-1,llama3-chatqa:70b,0.4150,166,234
Polygon.io endpoint generation Q&A,20240423-1,llama3-gradient:8b-instruct-1048k-q8_0,0.4050,162,238
Polygon.io endpoint generation Q&A,20240423-1,llama3-chatqa:8b,0.4000,160,240
Polygon.io endpoint generation Q&A,20240423-1,gemma:2b-instruct-v1.1-fp16,0.3850,154,246
Polygon.io endpoint generation Q&A,20240423-1,llama3-gradient:8b-instruct-1048k-q4_0,0.3759,150,249
Polygon.io endpoint generation Q&A,20240423-1,llama3-gradient:8b-instruct-1048k-fp16,0.3584,143,256
Polygon.io endpoint generation Q&A,20240423-1,gemma:2b-v1.1,0.3575,143,257
Polygon.io endpoint generation Q&A,20240423-1,dolphin-llama3:8b-v2.9,0.3400,136,264
Polygon.io endpoint generation Q&A,20240423-1,phi:2.7b,0.2736,136,361
Polygon.io endpoint generation Q&A,20240423-1,yi:6b,0.2678,177,484
Polygon.io endpoint generation Q&A,20240423-1,orca2:7b,0.2650,106,294
Polygon.io endpoint generation Q&A,20240423-1,orca2:13b,0.2600,104,296
Polygon.io endpoint generation Q&A,20240423-1,deepseek-llm:7b,0.2525,101,299
Polygon.io endpoint generation Q&A,20240423-1,command-r-plus:104b,0.2331,93,306
Polygon.io endpoint generation Q&A,20240423-1,llama3:8b-instruct-q2_K,0.1900,76,324
Polygon.io endpoint generation Q&A,20240423-1,qwen:4b,0.1031,43,374
Polygon.io endpoint generation Q&A,20240423-1,qwen:1.8b,0.0651,28,402
Polygon.io endpoint generation Q&A,20240423-1,llama2-uncensored:7b,0.0575,23,377
Polygon.io endpoint generation Q&A,20240423-1,qwen:0.5b,0.0000,0,433
