testplan,testset,model,correct,correct_answer,answer,question
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/TSLA""}","{""answer"": ""/v2/reference/analyst-ratings/TSLA""}",How can you access analyst ratings for Tesla (TSLA)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/nbbo/AAPL""}","{""answer"": ""/v2/last/nbbo/AAPL""}",How can you access the bid-ask spread for Apple (AAPL) in real-time?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v3/reference/financials/AAPL""}","{""answer"": ""/v3/reference/financials/AAPL""}",How can you find the most recent earnings report for Apple (AAPL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/last/trade/GOOGL""}","{""answer"": ""/v2/last/trade/GOOGL""}",How can you get real-time stock price data for Google (GOOGL)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
Polygon.io endpoint generation Q&A,Polyg-1,aya:35b,True,"{""answer"": ""/v2/reference/analyst-ratings/MSFT""}","{""answer"": ""/v2/reference/analyst-ratings/MSFT""}",How to fetch the latest analyst ratings for Microsoft (MSFT)?
