testplan,testset,model,correctness,correct,incorrect
Basic Financial Q&A,20240425-1,mistral:v0.2,0.2426,924,2885
Basic Financial Q&A,20240425-1,llama3-gradient:8b-instruct-1048k-fp16,0.2410,598,1883
Basic Financial Q&A,20240425-1,llama3-chatqa:8b,0.2409,607,1913
Basic Financial Q&A,20240425-1,mistral:7b,0.2400,1220,3863
Basic Financial Q&A,20240425-1,llama3-gradient:8b-instruct-1048k-q8_0,0.2385,601,1919
Basic Financial Q&A,20240425-1,qwen:7b,0.2376,795,2551
Basic Financial Q&A,20240425-1,zephyr:7b,0.2326,2376,7839
Basic Financial Q&A,20240425-1,orca2:13b,0.2247,755,2605
Basic Financial Q&A,20240425-1,dolphin-llama3:8b-v2.9,0.2207,1272,4491
Basic Financial Q&A,20240425-1,llama3:8b-instruct-q2_K,0.2111,532,1988
Basic Financial Q&A,20240425-1,neural-chat:7b,0.2054,690,2670
Basic Financial Q&A,20240425-1,mistral:7b-instruct-v0.2-q2_K,0.2018,339,1341
Basic Financial Q&A,20240425-1,codellama:13b,0.1990,1003,4037
Basic Financial Q&A,20240425-1,llama2:13b,0.1961,659,2701
Basic Financial Q&A,20240425-1,llama3-gradient:8b-instruct-1048k-q4_0,0.1916,483,2038
Basic Financial Q&A,20240425-1,wizardlm-uncensored:13b,0.1789,1413,6486
Basic Financial Q&A,20240425-1,deepseek-llm:7b,0.1685,1161,5730
Basic Financial Q&A,20240425-1,wizardlm2:7b-q2_K,0.1565,263,1417
Basic Financial Q&A,20240425-1,orca2:7b,0.1310,512,3395
Basic Financial Q&A,20240425-1,yi:6b,0.0889,304,3114
Basic Financial Q&A,20240425-1,llama2:7b,0.0879,306,3174
Basic Financial Q&A,20240425-1,gemma:2b-instruct-v1.1-fp16,0.0849,214,2306
Basic Financial Q&A,20240425-1,gemma:2b-instruct-v1.1-q8_0,0.0830,182,2012
Basic Financial Q&A,20240425-1,gemma:2b-v1.1,0.0762,256,3104
Basic Financial Q&A,20240425-1,llama2-uncensored:7b,0.0759,255,3105
Basic Financial Q&A,20240425-1,gemma:2b,0.0692,349,4691
Basic Financial Q&A,20240425-1,qwen:4b,0.0636,214,3149
Basic Financial Q&A,20240425-1,phi:2.7b,0.0573,229,3767
Basic Financial Q&A,20240425-1,llama2-chinese:7b,0.0518,275,5036
Basic Financial Q&A,20240425-1,qwen:1.8b,0.0372,125,3235
Basic Financial Q&A,20240425-1,qwen:0.5b,0.0030,10,3349
Basic Financial Q&A,20240425-1,falcon:7b-instruct,0.0018,6,3353
